tweet,hate
@E @E شايف يا طائفي يا قذر كل صفحتك عماله وطائقيه وكره للعرب وتمجيد لإيران <>انتم مرض خبيث يجب إستإصاله <>من الجسم العربي والعراق رأس<> هذا الجسم واقبح الطائيين واكثر<> من ركبهم ملالي إيران وحولتهم <>لمرتزقه يقاتلون ويدافعون,1
@E يا كلب الصهاينة يا عميل الفرس أنت عبد من عبيد نعال الحكام الظلمة و القتلة، أنت لا تساوي ذرة رمل في شسع نعال الرجال يا أقذر خلق الله يا وقح.,1
@E يا حيوان يا متخلف يا كلب يا عديم الشخصية يا عميل الغرب الغرب مسيحي صليبي ولا يوجد شيء بيننا وبينهم الا محاربة ديننا الغير محرف لانهم حرفوا دينهم ويرفضون ديننا وهم بالاساس مستعمرين لنا فكيف نتقرب لهم بالاعتماد على انفسنا ام بالسجود لهم يا حق,1
 @E: @E وانت فين يا قيعي يا معرص من مهدي عبيد ولا من حكام الاهلي المعرصين في الدوري علي الاقل الزمالك اتاهل بمجهوده وله…,1
إحنا لازم نسيبهم يفرحوا حقهم....<>بس أحب افكرك أنك تالت الدوري الاسباني...<>و قدامك إن شاء الله سنتين في افريقيا هتفضل تلعب في الكنفدرالية اللي هي طبعاً اقوي بطولة افريقية... وطبعاً مبروك الفوز الحلال..مبروك يا بيضة يا جربوعة يا حصالة 🤘😉<>#الزمالكحسنيهاغادير,1
"يا كوايتة يا مغفلين!!! اطردوا الكلب هذا، داوموا مبجّر و اللي يشوفه يصوّر ورقة يسأله شنو قاعد يسوي؟و يهاوشه و يطرده بسرعة،اللي كاتب هالكلام يقول ""ما يقدر عليه إلاّ الله""؟! إلاّ من رداكم!قولوا له ""اذا شفتك تحوس بين مكاتبنا مرّة ثانية رح أكسر رجلك"" يا كويتيين يا مغفلين 😡 ",1
@E @E @E اسكت يا خروف سيساوي يا صهيوني يا عملاء لسرائيل,1
@E تقصد بكلمتك عندنا من هم ؟! نظام الحمدين يا مرتزق ؟! خسئت يا شرذمة يا مشرد و خاب املك,1
@E وأنتي أحقر من عليه وتفوه عليكي وحدك يا صفويه يا أذناب ومن تعتاشون على دم شعبنا أنتم ليسوا بعرب يا جربانه معك حق ولا بشرف العرب تكونوا منهم يا جاهله بوست اليد من البروتوكول للي لا عندكم منه ولا بتعرفي أصلا جاهلة ومتخلفة عقلبا يا حرام شوفي شي ,1
@E يا درزي يا د *يو*ث<>بنتك واختك وزوجتك سبيل للمجوسي فى سوريا وسبيل للقطري فى قطر وانت من ظهر ش *و*ة يهودي 🖕🏼😎,1
@E اني حسيت بيك بس گلت لا ميسويها. يا خائن يا بعثي يا عميل يا صفوي يا ناصبي يا.... شمدريني بعد بكيفك انت حط تهم 😂😂,1
@E @E تاج راسك ورأس كل هلالي النصر العالمي يا حمار جحا يا السلوقي يا طاقية,1
@E @E كل الي يتكلمون على سمو الامير ويدافعون عن الزيدي اتحدى ان كانو سعوديين الاصل يا مجنسين يا حوثيين من جماعة السنتوره اقول اهجد انت واياه,1
@E كل قطر الإرهابية أخذهم الله أخذ عزيز مقتدر كلاب ولاد كلب خرفان انتوا مالكم ومال مصر ياخنازير يا شياطين الإنس والجن أنتم جزم يا قطر يا عبيد لإسرائيل وتركيا وإيران كلكم مخنثين مثليين ومن قوم لوط زى تميم الكلب إبن الكلب أخذكم الله أخذ عزيز م,1
طيب انا لو ف الملعب (من الحداشر يعني) وسمعت الجمهور بيقول ولا يا ولاااا يا زمالكااااااااوي هسيب الملعب واتحزم وارقص 😂😂😂,1
كس امك يا اهلاوي يا اللي كنت مستنينا نطلع زيك يا ابو خمسة يا مفضوح يا معرص!!<>احنا الزمالك يا كس امك!! ,1
@E يا اهل اليمن يا اصحاب التاريخ والعزة والشرف اهذا يرضيكم ان تعبث جماعات العار والدنائة من يسمون انفسهم دولةالامارات بارضكم وتتحكم بمصيركم,1
اقترب رمضان<>يا تاركي الصلاة يا شاربي الخمر يا انصار شبيبة القبائل توبو الى الله.ً...,1
@E ما تروحش تنيك مك يا ولد القحبة يا المروكي النقش الجزاىري يبقى سيدك حتى ممات انا ابن الحدود ونعرفكم مليح ومليح تهابون كل ماهو جزاىري انت في بلدك كلمة ماوتقدر تنطقها ولا حتى تتنفس تجي للمواقع تحل تراميك,1
@E مبروك لجماهير الاتحاد العميد المونديالي من الملعب. وهردلك يا منبطح يا جبان لصغير الرياض. اطلع منها الاتحاد اشرف منك.,1
 @E: في اسوء موسم للهلال تخسى تاخذ الدوري منه يا وضيع الرياض يا اغبى نادي شفته في حياتي,1
يمثل تحفة الفن والعمارة القوطية ويعد من المعالم التاريخية في فرنسا وذكرت في رواية أحدب نوتردام ويعود تاريخ المبنى إلى العصور الوسطى إستغرق بنائهُ 100 عام وحرق في ساعات<>(وش تستفيد من هذا يا مصلح انت وهيله يامتسامحين يا منبطحين يا امة ضحكت من جهلها الأمم) <>#كاتدراييهنوتردام,1
هاجمتوا دلوقتي يا فرقه وسخه<>دلوقتي يا سرسجي يا ابن الشمامه<>يارب تتغلبوا 7,1
@E @E @E ههههههه الشعب المسعود يعيش ع نعمه<>تكذب يا المنافق يا دجال ع بالك نحنا عايشن في كوكب آخر<>كانو ما نعرف الشعب المستعود مغلوب ع امره,1
@E @E والله اللي يقرا كلامك يقول بلدك العراق كله غابات وثلوج<>العراق كله صحراء ولولا النفط ما كان عشت يا عراقي يا اعرابي يا حافي يا عاري,1
 @E: #اسماعيليهيفوتللمختلط ولا يا و لا يا منجاوي .. على التفويت انا ناوي ,1
@E @E @E ماقولت لكسمك كسم مرتضي انتوا اللي عاملينه قيمة ولا انت بيب بيب في دي كمان ولا ايه 😂 <>الله يباركلوا رؤوف خليف من ساعة ما قال يا ظالم ليك يوم وانتوا بتتناكوا من الكل الحمد لله ولسة يا ولاد القحبه يا بتوع الريمونتاد,1
@E @E تف تبا لك أيها الشيوعي الملحد قوم يا عاطل قوم يا شفاتي يا فاسق 😹🖖🏽🔥,1
#الاتحادالنصر اتحاد العراقه والتاريخ والعالمي الحقيقي كيف يهبط يا ناس مبروك يا عميد ....ونقول لك يا فقراوي يا منحط صداررررررررره بسسسسسسسسسسسس,1
 @E: انت يا مسيحى يا زفر يالى عضمك زفر بتحفل على الاهلى وانت ازى بتشجع كوره ومفيش مسيحى بيلعب كوره — مبدئيا مش هارد ع الشتيمة ث…,1
@E @E طاعة رسول الله صلى الله عليه وسلم حيا وميت. ثم يهودي يا مشرك يا قليل ياالفهم قلت لك من قبل لعنة على ال سعود و حكام العرب خدم اليهود وأذناب النصارى .وولي أمري هو الشيخ إبراهيم بن عواد حفظه الله,1
#اردوغانيعاديالسعوديه<>والله لن تعدو قدرك يا قرد غان يا بن اليهودية ،،،وستنبيك الايام كيف ستكون انت ودولتك العلمانية،،<>قريبا ستصبح هكذا ولن تنفعك الدموع والاستجداءات يا قزم،، ,1
@E @E يا اشرف الزمالك له هدف سليم ١٠٠ ٪ يا اشرف، يا اشرف يا مفضوح يا معرص يابو خمسة شوفلك حتة واتدارى فيها يا معرص يابو خمسة.. ما بتشوفوش غير اللي على مزاجكم يا معرصين يا ولاد الوسخة!!,1
يخرب بيتكم يا وضيعين يا هلاليين الفوز للأتحاد ومستحقينه الكل متفق على كذا وفوزنا عليكم مستحقينه تجيبون طاري مباراتنا ليييه ليييه,1
@E كفو يا يمن يا اصل العرب ،، التاريخ يقول اليمن مقبرة الغزاه . ياويلهم ويل عملاء الفرس و الاخونج . اجلدوهم جلد . مالقو الا اليمن يخسون ماا يسلبونها من عروبتها و قبيلتها 🇾🇪🇸🇦,1
 @E: #للخلفدرريازمالك<>- يلا جهزي نفسك يا زينب <>= ليه يا عبسميع <>-مركزنا مستنينا 😂 ,1
@E روح يا ابن الزنا يا كلب يا فاسد انت وحكومتك ورئيسك يا زوامل يا عيال شحيبر حكومة ورئسة,1
@E الكيزان زي النازيين واحد :قتلو وعذبو و حكمهم كان ولا زال شمولي معتدي فاسد كامل الاركان. مفروض الآن رموزهم يا بيكونو بنتحروا يا في السجن درءاً لي اي فتنة و ليكون عظة و عبرة و ليرتدع كل جبار عنيد. #الثورةبدتيادوب و الثورة خيار الشعب,1
@E @E @E يا روافض يا انجاس ليس لكم عندنا الا سبايكر,1
@E @E منو الشرموطة اختك امالا اللي ادور مع التاجوري في المحاور اني ذكر مش شاذ جنسيا زي طريس مزراطة واتباع الشاذ بادي برا والنبي شوف علاش لزه الجيش طز فيك وفي ايطاليا يا عميل يا خاين يا كلب خلي الطليان يجو يزملوك يا زامل,1
@E @E اسكتي يا جزمه يا منطلقه ماعندي والي يلمك شكلو ابوك شيوعي,1
@E @E @E النصر يحتزم بجمهوره ورجالاته فقط يا مسيار يا ابو دوري نقطي واحد زيك زي الفتح لا تهايط على عمك اللي داعس عليك رايح جاي من ٨ سنوات,1
@E @E المعرصين دول اللي جابوك يا زباله يااحقر الناس الله ينتقم منكم يا خونه يا اخوان الشياطين يا خوارج العصر,1
@E @E @E لا بارك الله فيكي ولا في قومك المغتصبون القاتلون الذين لعنهم الله في كتبه السماوية يا صهيونية يا محتله<>كذلك سوف يحشر الرجل الآفاق هذا معك انتي ومن على شاكلتك ليس غريب عليه لأنه كان يكتب في قناة الخنزيره. تسري في عروقه,1
@E والله يا دكتور البقر انك ثور الله في برسيمه يا خدمي يا وضيييييع يا معنفة جدة يا صرصور جدة خليك في ناديك الوافد مثلك وشرواك,1
@E اذا فزت انه كبرياء الزيعيم<>اذا خسرت طاح الزعيم بفعل فاعل <>( يعني يا أفوز يا اشكك ) <>ماتطفشون يا امعات من تحريض الناس ...<>فريقكك قمامه ومايستحق شي ..<>بارك للي افضل منك وبلاش هياط,1
@E هتعملي ايه يا فرخه يا مخططه النهارده. انا عني نفسي عيزاكوا تفوزوا. يارب يفوزوا يارب يفوزا,1
يا الله يا بريطانيا يا وقحة مين حلفائك ؟؟في بيوت اذن الله ان ترفع ويذكر به رجال لا تلهيهم تجارة ولا بيع عن ذكر الله يسبح عندها بالغدو والاصال ؟؟,1
@E الللللللقم جلدك العميد يا صغير القم يا صغير الرياض,1
@E يا جاهل يا جاهل يا غبي الدوري الانجليزي وش سوا ؟؟ يا جاهل يا طفل بتقنعني ان الكرة الاسطورية الي قدمها برشلونة بفترة تدريبه جت صدفة وباردة مبردة ، عرب اغبياء بكل شي,1
@E @E يا انكم اغبياء يا انكم دلوخ ياجمهور الهلال .. مين مول كل هالاسماء الي جابها سامي ومين جاب سامي اصلا!؟<>كلها تركي ال الشيخ وسامي لايستطيع حتى تجديد عقد اصغر لاعب فالهلال بس انتوا تحبون الدراما والبكائيات ونطامكم يا تزبطونا يا نخر,1
تمأمأ تصوت تهوهو تصوصو<>التعديلات الدستوريه اراده مصريين شرفاء وطنيين مش شويه خونه هاربين من العداله وبيطلعوا من قناه مشبوهه للمخابرات التركيه ويطلع فيها عملاء خونه يرددوا كلام اسيادهم <>دي مصر يا 🐏🐏🐏🐏 <>مأمأ بعيد يا اسطي,1
@E يا رجال يا فهد يا بني ادم كل زقي و زق كل مشجع نصراوي كاره لأمثالك .. ماكل مقلب بنفسك مسوي خالد الشنيف ! حتى الخشبيه ساحبين عليك,1
@E طيب يا (ملاك نازلنا من السما ) يا نقي يا طاهر .. انت بتخلفك ده محدش هيديلك اهتمام من الاهلى فى الاتجاه السياسي ( الاخوانجيه ) لان هيعتبروك معرص وعاوزهم يعرصولك .. فكان اولى تهاجم كل من تطاول على اسيادك الزملكاويه .. سيد ابو حفيظه وشاكلته لانه,1
القم يا ايطالي يا ابن الكلب انت و باصك يلعن اهلك <>هيا فكووو الحين,1
@E مليون شهيد بسوريا اضافة لمئات آلاف المعتقلين المسلمين الذين أصبحوا يتمنون الموت للخلاص من العذاب بسجون بشار ورفاض الحرس الخرائي الايراني <>ومئات آلاف المعوقين وملايين المهجرين من ديارهم <>أين هم من ميزانك يا حماس يا من تدعون تبني المشروع الا,1
@E @E @E اخرس يا عبد ال سلول يا مطبل هل رأيت وشاهدت بأم عينك كما اطلعنا المغرد ابن البلد وشاهد عيان لما يجري من مصائب واحداث ام انك فقط تطبل للباطل وتضحك على نفسك ياابو امن وامان 😂😂,1
@E تبا لك ثم تب ثم تبا ثم تب تجار الدين دمرتوا الاسلام يا منافقين يا ضلاليه<>شيوعيين احيييييا انا يا كيزان يا عفن يا اخوان متاسلمين ارباب الماسونيه والصهيونيه انتم مكشوفون تماما خلاص سيدك عمر البشير طار جاي تتمسح فينا تبا لك وتبا له,1
العيال دول الي رئيس ناديهم موقفهم زي الحيوانات في الحديقه علشان يرميلهم شوية أكل هيروحوا يمسكوا الموبايل ويفتحوا الفيس علشان يكتبوا رجع الساعات يا كبخظيب يا فاشل 😁<>الحمدالله الذي عفانا مما ابتلا به غيرنا ✋ ,1
يا الماني يا قذر <>انا كنت اقول انها موب بلنتي بس باعادة الڤار واااااااضحه انها بلنتي !,1
 @E: يلا يا مختلط هانت يا ولاد الاعرج<>#يلازمالكالسادسههانت,1
@E الحمدلله عايشين اعز عيشه في حكم ال سعود الله يطول في اعمارهم ويجعلهم ذخر لنا وللمسلمين وانتي يا الامعه يا خادمة اردوغان وتنظم الاخوان الارهابي خليك بشؤونك,1
@E عقلية الأطفال حقت جمهور النصر بطلوها الاتحاد نادي كبير ويلعب باسمه ويخدم نفسه وما يلعب عشان احد وانت يا جماهير النصر يا تفوزعلي الاتحاد يا تسبونا بطلوها الاتحاد نادي كبير وعريق زيكم حتى لو جار الزمان علينا الاتحاد كببيييييببببببببر واحترموا,1
 @E: يا نابش القبور يا قائد الاشرار<>يا عبدا مأجورا لدى نظام بشار<>مرجعنا دار الكرامة و مرجعك مزرعة ابقار<>#كفرحيمالسبتبالمخ…,1
كسم الاهلي لكسم الأهلاوية لكسم اي حد اهلاوي هيحط الصورة في اي مكان غير طيظه يا بتوع صن داونز يا معفنين يا ولاد الوسخة ,1
@E محروق من فخر العرب يا ملحد يا بتاع ميسي اليهودي,1
بالله العفريت دة داير يحكم السودان ؟؟<>والله يشبه صور خرج ولم يعد<>انت لا تمثلني الى يوم القيامة يا شيوعي يا علماني يا عميل ,1
@E وانت مال اهلك يا سمج يا للى بتتخن على السب وقلة والادب ما تخليك فى حالك دا لما الواحد يحب يشتمك يقولك يا مشجع نادى البوابييييييين المختلط قلالات الادب ياللى كبيركم مرتضى وده كفاية عليك,1
@E @E @E خلص بلدك من القمامه يا قمامه يا مخلفات المستعمر يا من تتحكم فيكم ايران المتخلفه وبعدها تعال وجب معك اختك ونعطيك رأينا .,1
امك دلال شرموطه يا الأعرج الأصلع يا السعودي المشعوذ يا خادم وعبد الشراميط المبقعات المدودات المدودات من الشرمطه والوساخه والكذب والنصب والاحتيال يا شبكات الدعاره والشعوذه يا بلا شرف مشعوذ بلا شرف جبان وشراميط مقطعات موصلات بلا شرف يا الجبان يلي مستقوي بالشعوذه يا المجرم 💩👣,1
اللهم عليك بالعسكر الفجرة ومن في حكمهم من حكام العرب والمسلمين الخونة والعملاء لليهود والصليبيين احصهم عددا واهلكهم بددا ولا تبق منهم أحدا اللهم عجل بزوالهم يا قوي يا عزيز يا جبار يا متكبر يا كافي اكفنا شر هؤلاء الكفرة الفجرة بما شئت وكيف شئت اللهم آمين,1
@E عيطوا دم يا فاسدين يا ظلمة <>ياللي بتطلعوا برة بأي تحكيم اجنبي بتتفشخوا<>عرفتوا بتكسبوا في مصر ازي<>كام مليار يا سورس<>الجهلي واقع ... الحقه ,1
@E حسبنا الله ونعم الوكيل فيكم يا سعودية و يا امارات و ياحفتر و يا سيسي اللهم إنا نجعلك في نحورهم ونعوذ بك من شرورهم اللهم اكفناهم بما شئت وكيفما شئت,1
الأسرئليين هما إلي خلو البطاطس المحمرة تقرمش قول بقي أنك مش مصدق يا معادي للسامية يا عنصري يا أرهابي يا نازي يا ابن الكلب,1
@E @E يا عبير يا الدليميه لا تدعين لهذا الشيعي الحوثي المتعصب الي اسمه الشرفي حسين ان كنتي من اهل السنه والجماعه,1
 @E: يا اللي فوق ،،<>يا اللي فوق ..<>أررررفق على #الهلال<>يا اللي فووووووق,1
@E موتو قهر يا فقراوي يا حسود ترى من كثر ما تحسد الهلال تدخل بنيته تقول عليه ظلالم علشان هلون ربي مهو موفقكم خلوا نيتكم زينه نصيحه,1
@E @E نيجيريا 🤣🤣🤣🤣🤣🤣🤣. المشكلة النيجيري ب فريقك يا فقراوي🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 اسياد اسيا حنا يا تعبان يا ابو 3 صيح صيح صياحك طرب 🤣,1
@E مابدهاش تزبط يا زلمه يا عبد عزمي بشكاره ونظام الحمدين الامارات والسعوديه ضدكم با اهل الفتنه والدمار والتشرد سبحان الله الاخونجيه يغردون مع بعض ريموت كنترول عزمي بشكاره,1
@E خخخخخخخ خخخخخخخ خخخخخخخ خخخخخخخ خخخخخخخ خخخخخخخ خخخخخخخ خخخخخخخ أنت هتنيك نفسك ، شوف جماهيركم عملت إيه بعد خروجكم من أرولاندو حسام غالي يا فتاكة يا ابن المرة المتناكة أحاااا<>ابقي شوف جماهير الزمالك في فاينال أفريقيا قدام صنداونز <>الك,1
@E @E الحساب الخاين على فكرة فرعونكم هو بايع وطنه و باع ١٦٠٠مترًمن سيناء و لسة هيبيع لصالح الصهاينة هو صهيونى خاين و انتم زيه بالضبط خونة و بايعين لوطنهم ما انتم عبيده بقى انا لا أتشرف انا اتعامل مع العبيد امثالكم يا حساب يا خاين و كل,1
الله يحرقك يا يونج يا فلاح يا ابن الفلاحين,1
الله ياخذك يا كرواتي يا سباك عمر الهلال م كان ضايع كذا حتى لمن كانوا مدربين الأولمبي يدربوه.,1
@E @E @E هههههههه انتم من سترضخون صاغرين الى تميم المجد وأردوغان يا عبيد امريكا يا ملاعين يا عملاء إسرائيل يا قاتلين الأطفال في اليمن وليبيا 🖕🏼🖕🏼,1
@E يا خوارج يا ارهابيين يا منبع اليهود,1
@E تم تحويل خنزيركم الى فحم وحطب<>وعقبال البقية بأذن الله تعالى<>الى جهنم وبئس المصير يا اوغاد يا خونة <>يا حمير ايران واليهود<>شوف كرش وبطون ساداتكم الاحباش ومخلفات الفرس والاتراك والأحباش <>وعد لنحرر اليمن شبر شبر<>ما شفتوا من الذئب ,1
 @E: لعنة الله عليك يا سباك يا جبان يابن الكلب يا يهودي يا جزمه,1
 @E: جزمهم ليكم يا كلاااب يا بوابين #جزمةضاضاللزملكاويه ,1
@E يا بوابين يا زريبة. اة يا زيزي <>الفنله البيضه بخطين حمر اناا هفضلل احفل عليها طول العمر,1
لبسها ما مبرر للتحرش.. يا حيوان يا بربري يا مغفل,1
تنظيم الابالسة الشياطين الأعور الدجال. ومن يقتل مومنا متعمدا فجزاؤه جهنم خالدا فيها وغضب الله عليه و لعنه و أعد له عذابا عظيما. هذا ما ينتظرهم يا فجرة يا طواغيت اخسؤا قبحكم الله.,1
@E اقصى ماعندك تنبحين في تويتر يا الضبعه يا ذنب اليهود والترك والفرس <>اهم شي خليك على هذا الوزنيه,1
ايه كميه النفاق دى انا مفكر الزمالك اخد كاس العالم فيه ايه يا عالم يا فاشله يا منافقه الاهلى طلع سنتين ورا بعض من نهائي افريقا دورى ابطال وكنتو بتقولو انه فريق فاشل بس الزمالك الاسبانى يوصل لربع النهائي كأنه اخد كاس العالم نفاق نفاق نفاق #الاهلى فوق الجميع,1
@E أسكت يا أبو جهل يا مرتزق فرحان عندك جواز بريطاني يا متشرد يا درزي,1
 @E: @E سيعود صلاح الدين الايوبي بعد إنهاء دراسة القانون عند الانجليز ليحرر #الكدس.. انتظروا يا محبطين يا مشككين بال #الكضية…,1
من سخرية القدر يا إخوة يا أعزاء أن كلاب أمريكا الفجار بالخليج دخلوا في عدوان وحرب إبادة على أطفال #اليمن بحجة #إيران وأحرقوا وقتلوا وفجروا بالبشر والحجر، وقبل أيام ساعدوا نفاقًا ضحايا الفيضانات بإيران لكي يوصلوا رسالة للعالم أنهم لا يفجرون بالخصومة..,1
@E وأنت مال أمك يا معرص يا إبن الوسخة يا قزم الأقزام يا بواب يا زنطور يا هايجه يا بتاعة الخلايجه 😂 😂 😂 😂 😂,1
@E جرار قواد ديوث ابن زانيه انت يا فيصل القاسم تميم بن حمد راكب على ظهرك وظهر أهلك عشان تنبح له لعنت الله عليك وعلى من خلفك يا كلب قطر يا عبد الريال يا مشتراء,1
@E @E @E انت أكبر طقطقه يا خدمي يا وضيع منافس على الهبوط وخارج من العربيه ولك وجه تتكلم ههههههههههههه,1
ارحل ارحل ارحل ارحل يا سيسي يا خاين يا صهيوني مغتصب السلطة في مصر الاسلاميه,1
لما تتغلب في أفريقيا و يضربوك علي قفاك بالخمسة تعالي واحنا نجيب حقك يا لملوم يا بقال يا ماجدة يا هبه يا شوية معرصين,1
صح ان وجود الأنثى في الشارع كسائقة خفف قسوة الشارع وصار أجمل من قبل بكثير مافيه شك .. بس يرحم والديك امسكي خطك يا يمين يا يسار دوختيني الله يدوخك,1
يا زنجي يا بن الوسخة يا عبد,1
 @E: وحشتيني يا زيزي يابنت الكلاب يا جزمة<>#جزمةضاضاللزملكاويه,1
@E لما عبدالناصر عمل مقاطعه مع السعوديه زمان <>مع ان السعوديه ومصر متأمروش علي بعض ابدا افهم يا جمال يا حمار متأمرناش علي بعض الشيخ الشعراوي قال مينفعش نعطي دهرنا لسعوديه لانها قبلتنا واخوتنا واهلنا <>لكن قطرك تأمرت وكانت تقود عمليات اغت,1
#الاهلييقدر<>يلا يا ماجده يا وسخه بره 😂😂😂😂<>مفيش جهاد جريشه و لا نور الدين <>😂😂😂😂 ,1
@E 😂😂😂😂 ١٠٠٠ مليار جنيه بنية تحتية؟ كفاكم هرتلة، فلا تزيدونا إلا إصراراً يا خونة الأوطان يا مرتزقة الغرب.,1
@E @E اتظلمت ف اي الحكم اجنبي وانت معروف مبتكسبش مع اي حكم اجنبي الموسم ده 😂💔 ثم انك الموسم ده متعود ع الخساره عادي جدا وبلارقام مش اي هبد م اللي انت بتقوله ده يابو 5 😂😂<>وبعدين انت بتخسر من بيراميدز من ايام م كان اسمه الاسيوطي ,1
@E @E اقرأ يا عميل يا مدخلي يا عبيد السلطان ,1
@E @E @E @E اللهم يا شافي يا معافي نسألك يا رب أن تشفي وتعافي راشد خليفة وتبرأه من سقمه بحق هذا اليوم الفضيل، انك على كل شيئ قدير وتشفّي حكام قطر من المرض,1
@E @E نعرف انهم كذا ومايدعسهم الا حنا واذا كنت اقاضي القاضي وش اسوي وبعدين انا داعسك وشاخلك شخل وفزنا لاسم الاتحاد وراح نشخلك بكأس الملك ونصيحكم اكثر يا بنو فقر يا فشلا تفو,1
@E @E @E ارجع لتاريخك وتاريخ ملك اسياء وتعرف من الوضيع يا ابو ثلاثه دوري يا محلي,1
 @E: طرق تخصص لنا حلقة يا التافهه يا ابو محتوى فاضي م بقى الا انت تطقطق ع دحتنا لولا الله وفضله وعنزه كان انت عبد تحت الفرس 😒😌✌🏻💚…,1
شفتتممممم كميييههه الحقاره ؟؟؟ <>حقت البريك شفتها و تسألوا عنها الجمهور و لازم كرت و لازم يطرد اوك <>و حسين ؟؟ يا وضيع انت و قناتك الوضيعه ؟ ليش ما طلعتوا لقطته مع بوتيا ؟ يا قناه يا شريفه و يا اعلامي يا فذ ؟ الله ياخذكم من اعلام مشوه قذر مقرف <>حتى انتو الهلال معقدكم 😂,1
 @E: القم يا اتحادي الله ياخذك يا جونز كفو يا حكم<>- وضع النصراوي في ٣٠ ثانيه,1
@E @E @E نحويك يا زقان يا امازيغي يا عميل قطر تفو عليك يا خاين منتخب المغرب,1
@E على زق يا عبد يا قذر يا وصخ يا واطي يا جحش وجميع ما في المعجم العربي من قذارة اعتبرني وضعتها هنا ، تقبل مروري,1
يا نصراوي يا وضيع شفت فريقك كيف الاتحاد مهما كان سيء يبقى الكبير كبير,1
